season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive,defensiveRating,netRating
2005,20042005,15,Army,Patriot,85284,Matt Bell,G,26,0,849,380,61,39,54,16,1,28.2,99.2,1.7,45.6,0.533,0.89,45.5,13.5,38.7,297,115,38.3,193,74,39.4,104,41,80.7,135,109,89,77,12,,,,,,
2005,20042005,15,Army,Patriot,88528,Colin Harris,F,26,0,603,236,31,53,19,5,5,22.6,104.3,1.4,52.2,0.572,0.61,30.2,22.1,47.3,182,86,53.5,127,68,32.7,55,18,83.6,55,46,95,74,21,,,,,,
2005,20042005,15,Army,Patriot,88529,Steve Stoll,G-F,24,0,327,61,24,24,15,11,0,20.2,62.7,-1.1,32.8,0.334,0.63,11.5,22.9,25.3,87,22,31.0,29,9,22.4,58,13,40.0,10,4,35,27,8,,,,,,
2005,20042005,15,Army,Patriot,88530,Erik Engstrom,C,14,0,144,12,9,23,7,3,1,8.1,77.6,-0.1,55.6,0.536,0.78,55.6,25.0,55.6,9,5,55.6,9,5,0.0,0,0,40.0,5,2,28,21,7,,,,,,
2005,20042005,15,Army,Patriot,88533,Lance Dietz,G,14,0,180,16,28,28,20,8,0,13.7,57.3,-0.9,38.5,0.484,0.71,61.5,44.4,30.8,13,4,20.0,10,2,66.7,3,2,75.0,8,6,9,5,4,,,,,,
2005,20042005,15,Army,Patriot,91595,Luke Slater,F,19,0,264,75,15,14,7,4,3,17.8,101.0,0.5,47.0,0.558,0.47,78.0,37.0,46.0,50,23,51.2,43,22,14.3,7,1,71.8,39,28,46,29,17,,,,,,
2005,20042005,15,Army,Patriot,91596,Ryan Wallace,F,18,0,294,45,23,46,16,2,0,11.5,87.1,0.0,58.1,0.628,0.7,35.5,32.5,58.1,31,18,58.1,31,18,0.0,0,0,81.8,11,9,40,27,13,,,,,,
2005,20042005,15,Army,Patriot,91597,Travis Owsley,G,22,0,397,93,42,37,49,20,0,21.6,76.1,-0.8,42.2,0.433,1.17,9.7,10.7,35.9,103,37,40.0,60,24,30.2,43,13,60.0,10,6,28,25,3,,,,,,
2005,20042005,15,Army,Patriot,91598,Seth Sanert,G-F,17,0,126,2,11,15,6,6,1,9.5,27.2,-0.7,0.0,0.101,0.55,22.2,15.4,0.0,9,0,0.0,3,0,0.0,6,0,100.0,2,2,13,11,2,,,,,,
2005,20042005,15,Army,Patriot,91599,Ray Fredrick,G,7,0,9,8,3,0,0,0,0,53.6,97.4,0.1,50.0,0.725,0.0,400.0,50.0,50.0,2,1,50.0,2,1,0.0,0,0,75.0,8,6,2,1,1,,,,,,
